type_jeux,enonce,reponse_correct
vrai_faux,"Le signe affiche veut dire Bonjour.",true
vrai_faux,"Le signe affiche veut dire Merci.",true
vrai_faux,"Le signe affiche veut dire Non.",false
memory,"Associer les signes du quotidien a leur mot.",memory
quiz,"Quel signe utilise-t-on pour saluer une personne ?",Bonjour
quiz,"Quel signe sert a remercier ?",Merci
champ_lexical,"Classer Bonjour dans le bon champ lexical.",quotidien
champ_lexical,"Classer Main dans le bon champ lexical.",corps
champ_lexical,"Classer Chat dans le bon champ lexical.",animaux
champ_lexical,"Classer Eau dans le bon champ lexical.",nourriture
