mots,categorie,description
Bonjour,quotidien,"Saluer une personne au debut d'un echange."
Merci,quotidien,"Remercier une personne apres une aide ou une information."
Oui,quotidien,"Repondre positivement a une question simple."
Non,quotidien,"Repondre negativement ou indiquer un refus."
Aide,quotidien,"Demander ou proposer de l'aide dans une situation simple."
Main,corps,"Nommer la main et introduire les mouvements des signes."
Yeux,corps,"Parler du regard, de l'observation ou d'une gene visuelle."
Tete,corps,"Nommer une partie du corps dans une situation simple."
Coeur,corps,"Exprimer une emotion, un ressenti ou une notion liee au corps."
Bouche,corps,"Nommer la bouche ou indiquer une action liee a la parole."
Chat,animaux,"Decouvrir un signe animal simple et memorisable."
Chien,animaux,"Associer un signe a un animal courant."
Oiseau,animaux,"Travailler la precision du geste et du mouvement."
Poisson,animaux,"Enrichir le vocabulaire avec un signe visuel facile a retenir."
Lapin,animaux,"Decouvrir un signe visuel avec un mouvement simple a memoriser."
Eau,nourriture,"Demander ou proposer une boisson."
Pain,nourriture,"Nommer un aliment simple dans une situation de repas."
Pomme,nourriture,"Apprendre un mot concret lie aux aliments du quotidien."
Cafe,nourriture,"Utiliser un signe frequent dans un contexte professionnel."
Repas,nourriture,"Parler d'un repas ou d'un moment de pause en contexte professionnel."
